"X","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22"
"R59",0,-11.6,0,-11.6,1.493e-10,-11.6,1.892e-05,-11.6,0.009216,-11.6,0.12,-11.6,0.1358,-11.6,0.02836,-11.6,0.001774,-11.6,4.591e-05,-11.6,6.115e-07,-11.6
"R60",0,-11.8,0,-11.8,0,-11.8,1.037e-05,-11.8,0.006524,-11.8,0.106,-11.8,0.1447,-11.8,0.03533,-11.8,0.002521,-11.8,7.292e-05,-11.8,1.068e-06,-11.8
"R61",0,-12,0,-12,0,-12,5.607e-06,-12,0.004547,-12,0.09209,-12,0.1516,-12,0.04328,-12,0.003524,-12,0.000114,-12,1.838e-06,-12
"R62",0,-12.2,0,-12.2,0,-12.2,2.994e-06,-12.2,0.00312,-12.2,0.07871,-12.2,0.1561,-12.2,0.05216,-12.2,0.004849,-12.2,0.0001755,-12.2,3.117e-06,-12.2
"R63",0,-12.4,0,-12.4,0,-12.4,1.579e-06,-12.4,0.00211,-12.4,0.06619,-12.4,0.1581,-12.4,0.06184,-12.4,0.006566,-12.4,0.0002662,-12.4,5.208e-06,-12.4
"R64",0,-12.6,0,-12.6,0,-12.6,8.23e-07,-12.6,0.001406,-12.6,0.05478,-12.6,0.1576,-12.6,0.07215,-12.6,0.008755,-12.6,0.0003976,-12.6,8.577e-06,-12.6
"R65",0,-12.8,0,-12.8,0,-12.8,4.239e-07,-12.8,0.0009235,-12.8,0.04464,-12.8,0.1546,-12.8,0.08285,-12.8,0.01149,-12.8,0.0005851,-12.8,1.392e-05,-12.8
"R66",0,-13,0,-13,0,-13,2.159e-07,-13,0.0005983,-13,0.03583,-13,0.1493,-13,0.09367,-13,0.01486,-13,0.0008485,-13,2.229e-05,-13
"R67",0,-13.2,0,-13.2,0,-13.2,1.087e-07,-13.2,0.0003824,-13.2,0.02833,-13.2,0.142,-13.2,0.1043,-13.2,0.01893,-13.2,0.001213,-13.2,3.518e-05,-13.2
"R68",0,-13.4,0,-13.4,0,-13.4,5.418e-08,-13.4,0.0002412,-13.4,0.02208,-13.4,0.133,-13.4,0.1144,-13.4,0.02375,-13.4,0.001708,-13.4,5.475e-05,-13.4
"R69",0,-13.6,0,-13.6,0,-13.6,2.671e-08,-13.6,0.0001502,-13.6,0.01696,-13.6,0.1227,-13.6,0.1235,-13.6,0.02936,-13.6,0.002372,-13.6,8.406e-05,-13.6
"R70",0,-13.8,0,-13.8,0,-13.8,1.304e-08,-13.8,9.231e-05,-13.8,0.01284,-13.8,0.1116,-13.8,0.1315,-13.8,0.03579,-13.8,0.003248,-13.8,0.0001273,-13.8
"R71",0,-14,0,-14,0,-14,6.301e-09,-14,5.606e-05,-14,0.009594,-14,0.09998,-14,0.138,-14,0.04299,-14,0.004385,-14,0.0001902,-14
"R72",0,-14.2,0,-14.2,0,-14.2,3.016e-09,-14.2,3.363e-05,-14.2,0.00707,-14.2,0.08833,-14.2,0.1427,-14.2,0.05092,-14.2,0.005839,-14.2,0.0002804,-14.2
"R73",0,-14.4,0,-14.4,0,-14.4,1.43e-09,-14.4,1.994e-05,-14.4,0.005142,-14.4,0.07696,-14.4,0.1455,-14.4,0.05947,-14.4,0.00767,-14.4,0.0004078,-14.4
"R74",0,-14.6,0,-14.6,0,-14.6,6.719e-10,-14.6,1.169e-05,-14.6,0.003691,-14.6,0.06614,-14.6,0.1462,-14.6,0.0685,-14.6,0.00994,-14.6,0.0005855,-14.6
