"Unit","Group","SampleID","Notes","Easting","Northing","Depth_upper","Depth_lower","Depth_mean","Zone","EC","EC_units","pH","MP_fibres","MP_fragments","MP_films","MP_beads","MP_other","Al","As","Ba","Ca","Cd","Ce","Co","Cr","Cu","Fe","Ga","Gd","K","La","Li","Mg","Mn","Mo","Na","Nd","Ni","P","Pb","Rb","S","Sc","Sr","Th","Ti","V","Y","Zn"
"ENVT3361","4","2025-S04","",400196,6468332,10,15,12.5,"Path",173.6,"µS",6.6,5,2,NA,NA,NA,33109,8.5,95.5,5231,NA,53.2,3.71,56.9,17.7,47576,12.81,4.339,1202,28.21,12.9,1731,44.6,7.443,993,18.243,9.05,268.8,27.5,23.5,386,8.282,35.35,21.634,198.4,95.17,7.27,31.2
"ENVT3361","4","2025-S04","",400196,6468332,15,20,17.5,"Path",171.5,"µS",7.1,67,NA,NA,NA,NA,38660,11.44,91.7,4653,NA,52.2,4.08,64.6,16.4,60988,13.59,4.56,1179,27.98,15.21,1801,40.3,10.664,806,17.332,9.03,195.8,27.8,24.3,344,9.365,32.11,26.148,206.4,108.18,6.83,22.8
"ENVT3361","4","2025-S04","",400196,6468332,20,25,22.5,"Path",65.1,"µS",7.25,12,1,NA,NA,NA,41602,15.64,91.2,4410,NA,50.2,3.91,70.3,15.9,77701,14.3,5.206,1203,27.17,16.8,1933,34.6,12.968,844,17.249,8.77,166.3,27.6,23.9,363,10.206,31.44,28.861,192.6,121.37,6.65,16.3
"ENVT3361","4","2025-S04","",400196,6468332,25,30,27.5,"Path",82.4,"µS",7.1,2,NA,NA,NA,NA,42592,16.47,77.2,3827,NA,46.7,3.92,71.7,14.8,87942,13.83,5.436,1182,24.76,19.1,2004,32.2,14.49,809,16.641,8.62,146.1,26.6,23.7,346,10.688,27.36,25.959,179.1,122.85,6.189,13.2
"ENVT3361","4","2025-S04","",400196,6468332,30,35,32.5,"Path",148.8,"µS",6.9,7,NA,NA,NA,NA,38176,15.06,65.8,2988,NA,46.1,3.97,62.1,12.8,71364,13.65,4.833,1032,24.27,17.77,1774,32.7,12.45,704,16.346,7.87,104.9,22.2,20.2,287,9.671,22.07,21.976,215.1,106.4,5.85,11.8
"ENVT3361","4","2025-S04","",400196,6468332,35,40,37.5,"Path",147.7,"µS",6.65,3,NA,NA,NA,NA,29941,8.17,125.9,6697,0.04,51.9,3.67,51,22.5,41197,11.05,4.094,1245,27.15,12.8,1865,75.9,5.884,1033,18.023,9.2,366.2,28.1,22.9,542,7.193,43.97,17.501,193.4,86.24,7.577,49.7
"ENVT3361","5","2025-S05","",400305,6468345,0,5,2.5,"Path",133.9,"µS",7.75,NA,NA,NA,NA,NA,11337,4.29,40.3,14199,0.14,30.9,1.96,20,14.3,14662,5.55,2.073,628,15.39,6.66,803,57,2.475,570,10.491,3.69,268,26.3,8.5,294,2.547,39.77,7.851,220.3,31.24,5.059,138.8
"ENVT3361","5","2025-S05","",400305,6468345,5,10,7.5,"Path",109.2,"µS",8.1,NA,NA,NA,NA,NA,10174,3.62,36.8,18860,0.09,24.3,1.62,17.1,11.5,13640,5.2,1.913,521,12.34,5.58,749,51.8,2.024,468,8.081,3.05,190.4,24.2,7.3,217,2.314,48.39,7.024,211.5,28.75,4.44,109.7
"ENVT3361","5","2025-S05","",400305,6468345,10,15,12.5,"Path",114.2,"µS",7.79,NA,NA,NA,NA,NA,8869,3.49,29.1,14856,0.075,18.7,1.36,13.9,9.6,11070,5.02,1.325,448,9.44,4.65,651,48,1.53,459,6.196,2.69,157.1,24.1,6,191,1.852,36.4,5.926,207.7,22.73,3.376,80.2
"ENVT3361","5","2025-S05","",400305,6468345,15,20,17.5,"Path",82.3,"µS",8.02,NA,NA,NA,NA,NA,7745,2.72,21.5,15236,0.063,11.1,1.45,13.1,10.2,10144,5.54,0.961,338,5.56,3.39,839,65.1,0.914,612,3.33,2.79,159.3,32.8,4.3,165,1.236,34.98,4.929,286,22.57,2.411,57.4
"ENVT3361","5","2025-S05","",400305,6468345,20,25,22.5,"Path",94.5,"µS",8.08,NA,NA,NA,NA,NA,6057,2.51,24.5,16894,0.077,10,1.24,9.9,10.6,8067,3.66,0.832,303,5.13,2.7,528,45.7,0.689,760,2.732,1.87,160.4,88.9,3.6,195,1.016,38.95,3.867,187.6,18.38,2.146,65.3
"ENVT3361","5","2025-S05","",400305,6468345,25,30,27.5,"Path",70.5,"µS",8.26,NA,NA,NA,NA,NA,4249,2.71,18.7,14878,0.074,7.5,1.1,6.5,11.6,5212,2.86,0.52,221,3.72,3.54,398,52.3,0.5,1611,1.616,1.45,110.4,35.1,3,135,0.602,33.06,2.733,171,11.45,1.565,48.2
"ENVT3361","5","2025-S05","",400305,6468345,30,35,32.5,"Path",76.8,"µS",8.26,NA,NA,NA,NA,NA,5235,3.51,29.2,14243,0.053,9.3,1.07,7.2,9,5906,4,0.57,277,4.46,2.28,403,40.4,0.371,2482,2.285,1.44,106.8,32.6,2.8,145,0.714,33.76,3.503,229.5,12.97,1.633,45.3
"ENVT3361","5","2025-S05","",NA,NA,NA,NA,NA,"Path",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361","6","2025-S06","",400043,6468186,0,10,5,"Woolcock",3.92,"mS",6.4,NA,NA,NA,NA,NA,41086,4.44,25.9,2620,0.139,72.8,13.9,48.7,39.2,25170,14.52,5.33,2294,31.51,42.09,4423,45.3,9.407,15582,27.695,15.12,286.8,31,35.3,9349,7.048,42.19,14.506,398.2,63.23,14.08,630.4
"ENVT3361","6","2025-S06","",400043,6468186,10,20,15,"Woolcock",2.2,"mS",6.09,NA,NA,NA,NA,NA,39779,5.56,19.4,1672,0.096,99.3,13.18,44.8,14.9,37006,13.18,7.169,1878,43.58,45.98,2496,48.2,6.328,5621,36.797,13.37,213.5,27.9,27.7,3090,6.698,25.32,14.24,423.7,63.65,20.427,756.9
"ENVT3361","6","2025-S06","",400043,6468186,0,10,5,"Woolcock",13.91,"mS",6.75,NA,NA,NA,NA,NA,29190,7.45,61.7,1172,NA,38.4,4.07,43.9,14.6,35709,18.88,3.239,1496,18.6,23.98,2022,61.3,4.732,4287,14.878,8.12,57.5,10.4,23.5,722,6.155,19.73,17.906,804.4,57.11,5.739,49.6
