Count_,NUMBER_,LOCATION,MAP_NAME,EAST_1984,NORTH_1984,ZONE_,HOLE,DEPTH_FT,DEPTH_M,PETROLOGY,PET_DESC,Rock,REFERENCE,REF_DESC,ORG_NUMBER,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2,Co,Cr,Cu,Ni,Rb,Sr,V,Y,Zn,Zr,Lith
27,1138,BARLEE,BARLEE,709708.7,6714235,50,,-9999,-9999,PIN,,High-Mg Basalt,JAH,JA Hallberg,CSIR,542000,6200,117000,23000,80000,1800,91000,105000,16500,1300,900,16000,0.01,68,606,56,120,3,94,270,22,63,68,HIGH MG BASALT
29,1140,BARLEE,BARLEE,709477.2,6720553,50,,-9999,-9999,U,uralitized,High-Mg Basalt,JAH,JA Hallberg,CSIR,506000,5000,96000,18000,81000,2200,147000,122000,6500,3500,800,26000,0.01,59,1512,119,210,18,57,219,13,61,42,HIGH MG BASALT
31,1142,BARLEE,BARLEE,707027.1,6723401,50,,-9999,-9999,U,uralitized,High-Mg Basalt,JAH,JA Hallberg,CSIR,522000,6200,122000,37000,71000,1600,82000,129000,7200,1600,1000,20000,0.01,50,614,32,122,7,161,290,21,60,56,HIGH MG BASALT
37,1148,BARLEE,BARLEE,754297.8,6727976,50,,-9999,-9999,U,uralitized,High-Mg Basalt,JAH,JA Hallberg,CSIR,482000,3800,90000,16000,85000,1800,191000,77000,14000,1100,600,35000,0.01,77,1854,18,560,2,73,198,11,70,33,HIGH MG BASALT
40,1151,BARLEE,BARLEE,757348.4,6755513,50,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,542000,5900,118000,23000,77000,1600,91000,76000,35300,2400,500,28000,0.01,50,675,38,122,3,208,252,13,60,43,BASALT
42,1153,BARLEE,BARLEE,757570.2,6756956,50,,-9999,-9999,U,uralitized,High-Mg Basalt,JAH,JA Hallberg,CSIR,502000,4300,104000,21000,79000,1900,151000,81000,16700,3500,800,41000,0.01,60,1449,27,300,10,109,215,10,62,42,HIGH MG BASALT
43,1154,BARLEE,BARLEE,760576.7,6756148,50,,-9999,-9999,U,uralitized,Dolerite,JAH,JA Hallberg,CSIR,541000,7500,155000,15000,76000,2000,70000,80000,38400,4400,2100,16000,0.01,40,213,32,87,15,299,224,13,62,106,DOLERITE
44,1155,BARLEE,BARLEE,756330.6,6758278,50,,-9999,-9999,U,uralitized,High-Mg Basalt,JAH,JA Hallberg,CSIR,509000,4200,109000,17000,77000,2200,132000,126000,8700,1600,1000,22000,0.01,49,1447,49,223,7,113,203,10,51,42,HIGH MG BASALT
45,1156,BARLEE,BARLEE,778788.4,6700954,50,,-9999,-9999,U,uralitized,High-Mg Basalt,JAH,JA Hallberg,CSIR,531000,5700,125000,22000,67000,2400,98000,107000,24300,1500,500,19000,0.01,50,1034,41,139,6,103,264,68,40,57,HIGH MG BASALT
48,1169,BARLEE,BARLEE,705181.7,6688970,50,,-9999,-9999,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,521000,9200,125000,29000,87000,2100,83000,85000,27900,2900,2400,18000,0.01,37,671,9,168,13,923,220,168,66,132,BASALT
49,1170,BARLEE,BARLEE,720416,6698042,50,,-9999,-9999,F,fresh,Basalt,JAH,JA Hallberg,CSIR,530000,6900,139000,27000,87000,1800,68000,82000,18200,1700,1500,28000,2000,59,23,70,82,3,104,298,20,68,56,BASALT
50,1171,BARLEE,BARLEE,721132.5,6700307,50,,-9999,-9999,EU,epidotized; uralitized,Basalt,JAH,JA Hallberg,CSIR,524000,5700,150000,14000,38000,2100,63000,142000,33600,6900,1000,18000,4000,42,192,18,122,20,251,247,21,22,49,BASALT
54,1467,BELELE,BELELE,606085.8,7076339,50,,-9999,-9999,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,507000,5500,123000,19000,76000,1700,107000,122000,16300,2400,800,19000,0.01,56,563,60,129,10,146,232,9,47,32,BASALT
55,1468,BELELE,BELELE,601912.1,7074034,50,,-9999,-9999,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,515000,5500,126000,23000,71000,1900,1.00E+05,124000,17100,2100,1300,15000,2000,49,556,32,111,7,117,229,10,41,27,BASALT
56,1469,BELELE,BELELE,601617.5,7075298,50,,-9999,-9999,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,517000,10300,102000,25000,96000,2000,93000,108000,22300,2100,2300,16000,0.01,60,652,91,199,4,153,311,17,69,84,BASALT
57,1470,BELELE,BELELE,630163.5,7036051,50,,-9999,-9999,,,High-Mg Basalt,JAH,JA Hallberg,CSIR,501000,4600,93000,32000,67000,2400,122000,149000,3400,5200,1100,18000,3000,50,1206,12,178,14,93,260,13,41,29,HIGH MG BASALT
58,1476,BELELE,BELELE,636752.9,7081403,50,,-9999,-9999,EU,epidotized; uralitized,Basalt,JAH,JA Hallberg,CSIR,558000,6700,139000,27000,60000,1700,58000,99000,25700,3600,1000,20000,0.01,70,24,57,200,13,139,266,26,51,65,BASALT
59,1477,BELELE,BELELE,636952.3,7079308,50,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,522000,6700,139000,28000,87000,2200,59000,1.00E+05,18600,5800,1800,28000,0.01,89,19,88,209,22,117,266,19,78,61,BASALT
60,1478,BELELE,BELELE,635690.5,7075291,50,,-9999,-9999,EU,epidotized; uralitized,Basalt,JAH,JA Hallberg,CSIR,531000,5800,141000,27000,72000,2000,67000,1.00E+05,21500,4700,1300,24000,0.01,61,144,63,211,16,108,232,15,59,54,BASALT
61,1479,BELELE,BELELE,636050.6,7075287,50,,-9999,-9999,EU,epidotized; uralitized,Basalt,JAH,JA Hallberg,CSIR,530000,5600,141000,28000,72000,2000,69000,104000,19200,4900,1800,25000,0.01,59,138,80,170,24,116,228,10,58,46,BASALT
