Count_,NUMBER_,LOCATION,MAP_NAME,EAST_1984,NORTH_1984,ZONE_,HOLE,DEPTH_FT,DEPTH_M,PETROLOGY,PET_DESC,Rock,REFERENCE,REF_DESC,ORG_NUMBER,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2,Co,Cr,Cu,Ni,Rb,Sr,V,Y,Zn,Zr,Lith
1040,59,NORSEMAN,NORSEMAN,384872.9,6437376,51,C55,100,30.48,U,uralitized,Basalt,JAH,JA Hallberg,UWA,518000,9500,147000,17000,89000,2000,46000,126000,22000,2300,1600,10000,10000,60,375,134,154,1,96,299,22,95,61,BASALT
1044,63,NORSEMAN,NORSEMAN,385056.2,6437378,51,C54,100,30.48,U,uralitized,Basalt,JAH,JA Hallberg,UWA,493000,7900,153000,7000,98000,2200,90000,103000,26000,1300,1500,15000,0.01,59,395,72,172,4,112,313,17,99,50,BASALT
1012,31,NORSEMAN,NORSEMAN,383597.6,6436684,51,C111,108,32.91,U,uralitized,Gabbro,JAH,JA Hallberg,UWA,498000,12300,164000,14000,94000,1800,62000,101000,29000,3900,1600,14000,1000,63,130,116,87,27,112,399,26,102,65,GABBRO
1796,1122,YOUANMI,YOUANMI,786673.6,6802854,50,BL3,112.3,34.22,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,531000,7400,123000,17000,72000,2200,74000,124000,30000,1200,1100,17000,5000,70,332,33,110,3,60,304,14,100,45,BASALT
1035,54,NORSEMAN,NORSEMAN,384768.1,6437375,51,C56,115,35.05,U,uralitized,Basalt,JAH,JA Hallberg,UWA,503000,10400,163000,8000,91000,2500,47000,123000,26000,1900,1600,19000,1000,61,470,110,173,7,124,306,26,105,65,BASALT
289,1100,JACKSON,JACKSON,686978.8,6613249,50,DJ1,120,36.57,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,521000,6000,150000,14000,79000,1700,78000,83000,35200,4600,800,26000,1000,47,192,152,120,3,79,310,31,75,38,BASALT
1794,1120,YOUANMI,YOUANMI,786673.6,6802854,50,BL2,132.5,40.38,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,514000,8000,150000,14000,84000,2600,78000,110000,21900,1600,1100,17000,0.01,68,359,62,118,12,113,321,17,240,59,BASALT
1805,1131,YOUANMI,YOUANMI,786673.6,6802854,50,BL7,133,40.53,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,530000,7300,138000,11000,75000,1700,79000,106000,31100,1200,300,13000,2000,50,329,102,89,6,101,297,15,80,42,BASALT
1615,2249,WIDGIEMOOLTHA,WIDGIEMOOLTHA,373806.6,6546326,51,KD 1,135,41.14,CTS,chlorite tremolite schist,High-Mg Basalt,ROS,,KR 46,413000,4300,91000,46000,75000,2200,226000,64000,800,100,100,70000,1000,114,2440,1,925,1,5,127,8,84,23,HIGH MG BASALTX
167,1475,CUE,CUE,608359.1,6949169,50,YD1,138,42.06,MU,,Dolerite,JAH,JA Hallberg,CSIR,520000,11700,138000,21000,103000,1400,61000,70000,40000,2900,1800,22000,0.01,68,49,53,71,10,161,263,22,78,96,DOLERITE
1063,82,NORSEMAN,NORSEMAN,385422.7,6437382,51,C59,150,45.72,R,recrystallized,Gabbro,JAH,JA Hallberg,UWA,519000,10000,151000,14000,98000,2500,62000,94000,32000,2100,1400,11000,2000,52,285,102,88,15,55,333,23,137,56,GABBRO
1798,1124,YOUANMI,YOUANMI,786627.8,6801006,50,BL4,153,46.63,PU,porphyritic; uralitized,Basalt,JAH,JA Hallberg,CSIR,521000,8500,140000,14000,84000,1700,77000,116000,26500,1800,500,13000,0.01,59,390,12,109,5,155,335,17,77,51,BASALT
1712,2251,WIDGIEMOOLTHA,WIDGIEMOOLTHA,373806.6,6546326,51,KD 1,155,47.24,TCC,,Peridotite,ROS,,,424000,2100,44000,47000,36000,900,286000,34000,100,10,200,47000,75000,121,1700,38,1760,1,20,67,2,0.56,11,PERIDOTITE
1638,2282,WIDGIEMOOLTHA,WIDGIEMOOLTHA,374547.6,6546334,51,KD21,171,52.12,TCC,,Peridotite,ROS,,,379000,2500,57000,11000,84000,1800,255000,53000,1500,200,200,66000,84000,116,2320,10,1580,1,31,111,3,67,15,PERIDOTITE
1806,1132,YOUANMI,YOUANMI,786673.6,6802854,50,BL7,171,52.12,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,532000,7800,142000,15000,79000,1900,79000,99000,33800,1100,800,14000,0.01,56,330,38,102,5,113,298,16,80,43,BASALT
1618,2253,WIDGIEMOOLTHA,WIDGIEMOOLTHA,373806.6,6546326,51,KD 1,173,52.73,TCC,,Peridotite,ROS,,KR 50,384000,1600,35000,24000,47000,1100,306000,24000,200,10,100,54000,118000,97,1394,30,1642,1,12,56,4,39,9,PERIDOTITE
1640,2284,WIDGIEMOOLTHA,WIDGIEMOOLTHA,374547.6,6546334,51,KD21,178,54.25,TCC,,Peridotite,ROS,,,424000,2300,49000,19000,64000,1200,265000,40000,700,10,200,62000,66000,98,1660,64,1780,1,26,76,2,98,11,PERIDOTITE
1619,2254,WIDGIEMOOLTHA,WIDGIEMOOLTHA,373806.6,6546326,51,KD 1,181,55.16,TCC,,Peridotite,ROS,,KR 51,408000,2600,52000,42000,53000,1000,279000,32000,100,10,200,68000,60000,99,1910,5,1490,1,14,82,4,41,14,PERIDOTITE
245,1229,EULAMINNA,LAVERTON,379970.9,6794486,51,9,187,56.99,PU,porphyritic; uralitized,Basalt,JAH,JA Hallberg,CSIR,470000,13500,141000,29000,117000,2700,61000,89000,30200,200,1400,43000,3000,66,111,92,88,4,104,358,39,123,81,BASALT
1799,1125,YOUANMI,YOUANMI,786627.8,6801006,50,BL4,193,58.82,PU,porphyritic; uralitized,Basalt,JAH,JA Hallberg,CSIR,527000,7600,144000,16000,75000,1700,76000,106000,34600,1600,700,13000,3000,65,329,88,109,3,152,311,17,81,46,BASALT
1655,2310,WIDGIEMOOLTHA,WIDGIEMOOLTHA,373727.3,6546325,51,KD12,194,59.13,CTS,chlorite tremolite schist,High-Mg Basalt,ROS,,BC  7,451000,2700,68000,11000,96000,1900,220000,75000,1500,200,300,59000,3000,92,2360,115,1170,1,18,96,6,58,15,HIGH MG BASALTX
1013,32,NORSEMAN,NORSEMAN,383597.6,6436684,51,C111,200,60.96,U,uralitized,Gabbro,JAH,JA Hallberg,UWA,489000,11000,159000,14000,99000,2300,65000,112000,29000,2600,1700,12000,0.01,47,220,59,95,11,119,315,24,125,57,GABBRO
1036,55,NORSEMAN,NORSEMAN,384768.1,6437375,51,C56,200,60.96,U,uralitized,Basalt,JAH,JA Hallberg,UWA,506000,9900,151000,17000,97000,2100,65000,122000,19000,1500,1900,9000,0.01,60,425,132,153,1,98,295,22,100,62,BASALT
1041,60,NORSEMAN,NORSEMAN,384872.9,6437376,51,C55,200,60.96,U,uralitized,Basalt,JAH,JA Hallberg,UWA,499000,9200,144000,14000,107000,2100,75000,106000,29000,1200,1300,8000,0.01,66,290,129,148,6,135,310,25,110,63,BASALT
1045,64,NORSEMAN,NORSEMAN,385056.2,6437378,51,C54,200,60.96,U,uralitized,Dolerite,JAH,JA Hallberg,UWA,501000,8200,147000,7000,99000,1900,85000,111000,19000,1300,1300,11000,1000,57,340,117,163,3,88,355,19,96,47,DOLERITE
1656,2311,WIDGIEMOOLTHA,WIDGIEMOOLTHA,373727.3,6546325,51,KD12,200,60.96,CTS,chlorite tremolite schist,High-Mg Basalt,ROS,,BC  8,483000,2700,55000,11000,84000,1800,216000,92000,1900,400,200,50000,1000,64,995,6,630,1,22,76,6,83,15,HIGH MG BASALTX
257,1694,GLENGARRY,GLENGARRY,663204.3,7021663,50,GD1,209,63.7,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,504000,12100,109000,20000,84000,1600,117000,75000,34100,9600,1000,25000,3000,73,1054,11,328,31,293,247,38,35,106,BASALT
1103,122,NORSEMAN,NORSEMAN,386896.3,6436752,51,S49,212,64.61,U,uralitized,Dolerite,JAH,JA Hallberg,UWA,480000,5100,132000,11000,106000,2000,123000,104000,13000,1100,1100,21000,0.01,75,355,94,150,9,54,287,25,98,27,DOLERITE
166,1474,CUE,CUE,608721.3,6949812,50,MCY1,222.5,67.81,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,531000,14000,143000,18000,88000,2000,61000,87000,23700,3100,2300,23000,0.01,85,85,172,126,12,119,413,29,115,90,BASALT
1807,1133,YOUANMI,YOUANMI,786673.6,6802854,50,BL7,227.5,69.34,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,524000,7400,143000,14000,84000,1800,90000,107000,15700,700,800,14000,0.01,49,310,180,99,3,67,304,14,54,44,BASALT
1608,2241,WIDGIEMOOLTHA,WIDGIEMOOLTHA,373727.3,6546325,51,KD12,239,72.84,CTS,chlorite tremolite schist,High-Mg Basalt,ROS,,,439000,2700,59000,41000,62000,1500,257000,52000,600,100,200,63000,19000,93,1510,42,930,1,20,108,6,79,15,HIGH MG BASALTX
122,991,COOLGARDIE,KALGOORLIE,318564,6563076,51,MD2B,244,74.37,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,498000,6400,148000,29000,88000,900,80000,118000,21700,1100,800,14000,0.01,62,313,91,170,10,103,184,20,93,43,BASALT
1609,2242,WIDGIEMOOLTHA,WIDGIEMOOLTHA,373727.3,6546325,51,KD12,244,74.37,CTS,chlorite tremolite schist,Peridotite,ROS,,,360000,1800,39000,41000,48000,2600,263000,76000,500,10,100,51000,114000,71,1380,46,1580,1,104,67,3,74,10,PERIDOTITE
1064,83,NORSEMAN,NORSEMAN,385422.7,6437382,51,C59,250,76.2,U,uralitized,Gabbro,JAH,JA Hallberg,UWA,518000,8900,167000,10000,86000,2300,63000,107000,26000,1900,1700,10000,0.01,61,190,91,149,3,100,255,18,107,50,GABBRO
1797,1123,YOUANMI,YOUANMI,786673.6,6802854,50,BL3,284.5,86.71,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,522000,7400,145000,13000,76000,2300,79000,116000,23100,1400,1200,15000,2000,70,338,74,98,10,107,308,16,74,44,BASALT
1611,2245,WIDGIEMOOLTHA,WIDGIEMOOLTHA,373727.3,6546325,51,KD12,290,88.39,TCS,tremolitic; carbonatized; serpentinized,Peridotite,ROS,,,344000,1000,21000,30000,34000,1200,345000,1000,300,10,100,41000,177000,94,1170,15,2140,1,1,41,2,42,6,PERIDOTITE
1014,33,NORSEMAN,NORSEMAN,383597.6,6436684,51,C111,300,91.44,U,uralitized,Gabbro,JAH,JA Hallberg,UWA,501000,9300,152000,13000,93000,1900,66000,111000,26000,2500,1600,12000,3000,43,320,96,111,15,107,279,23,111,60,GABBRO
1037,56,NORSEMAN,NORSEMAN,384768.1,6437375,51,C56,300,91.44,U,uralitized,Basalt,JAH,JA Hallberg,UWA,504000,10600,159000,24000,86000,2100,51000,120000,27000,1300,1200,11000,2000,50,510,100,192,3,100,230,22,97,63,BASALT
1042,61,NORSEMAN,NORSEMAN,384872.9,6437376,51,C55,300,91.44,U,uralitized,Basalt,JAH,JA Hallberg,UWA,471000,9900,157000,15000,106000,2300,52000,128000,27000,900,1400,12000,10000,63,325,75,161,6,101,380,22,161,60,BASALT
1046,65,NORSEMAN,NORSEMAN,385056.2,6437378,51,C54,300,91.44,U,uralitized,Dolerite,JAH,JA Hallberg,UWA,503000,8000,145000,12000,97000,2100,85000,111000,22000,900,1400,11000,0.01,55,340,89,159,7,82,297,20,97,47,DOLERITE
1072,91,NORSEMAN,NORSEMAN,385501.3,6437383,51,C60,300,91.44,AU,amygdaloidal; uralitized,Basalt,JAH,JA Hallberg,UWA,502000,9500,158000,14000,97000,2100,82000,103000,28000,1400,1800,13000,1000,62,360,58,157,6,62,379,30,123,56,BASALT
1104,123,NORSEMAN,NORSEMAN,386896.3,6436752,51,S49,300,91.44,U,uralitized,Basalt,JAH,JA Hallberg,UWA,498000,6400,143000,12000,99000,2700,79000,116000,24000,1500,1300,11000,2000,60,440,129,161,3,87,281,15,91,37,BASALT
1474,1306,WIDGIEMOOLTHA,WIDGIEMOOLTHA,360667.4,6515363,51,5893,780,237.74,,,Peridotite,MJH,"MJ Hough PhD thesis, ANU, 1975",ANU,445000,1200,32000,8000,82000,1400,418000,8000,1100,300,100,65000,2000,141,1835,25,2183,2,8,71,2,60,2,PERIDOTITE
984,3,NORSEMAN,NORSEMAN,382969.2,6436677,51,C114,550,167.64,U,uralitized,Basalt,JAH,JA Hallberg,UWA,513000,8400,143000,11000,91000,2300,87000,101000,38000,2500,1300,10000,0.01,57,270,58,165,21,88,318,24,99,51,BASALT
1593,1437,WIDGIEMOOLTHA,WIDGIEMOOLTHA,358462,6526205,51,3303,565,172.21,R,recrystallized,High-Mg Basalt,MJH,"MJ Hough PhD thesis, ANU, 1975",ANU,467000,5000,107000,25000,98000,2600,152000,116000,22600,2300,200,24000,2000,93,1640,2,382,6,63,213,11,218,26,HIGH MG BASALT
1562,1400,WIDGIEMOOLTHA,WIDGIEMOOLTHA,360667.4,6515363,51,5893,327,99.66,CTS,chlorite tremolite schist,High-Mg Basalt,SPI,,ANU,459000,4900,96000,14000,95000,1800,253000,61000,5600,2200,300,68000,2000,112,3579,28,865,19,24,191,7,246,24,HIGH MG BASALT
982,1,NORSEMAN,NORSEMAN,382969.2,6436677,51,C114,350,106.68,U,uralitized,Basalt,JAH,JA Hallberg,UWA,512000,9300,153000,16000,90000,2600,72000,108000,27000,1600,1300,12000,0.01,65,325,85,126,7,90,360,20,90,58,BASALT
1047,66,NORSEMAN,NORSEMAN,385056.2,6437378,51,C54,350,106.68,U,uralitized,Dolerite,JAH,JA Hallberg,UWA,514000,8000,149000,12000,92000,2100,79000,110000,23000,800,1300,10000,0.01,57,405,126,167,4,87,293,18,88,45,DOLERITE
1065,84,NORSEMAN,NORSEMAN,385422.7,6437382,51,C59,350,106.68,U,uralitized,Gabbro,JAH,JA Hallberg,UWA,490000,9700,162000,16000,106000,2300,66000,105000,23000,1500,1700,12000,1000,61,205,136,110,5,101,311,22,127,61,GABBRO
123,992,COOLGARDIE,KALGOORLIE,318564,6563076,51,MD2B,355.2,108.26,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,491000,6400,150000,25000,92000,1900,81000,124000,12300,700,1300,14000,0.01,73,329,144,165,21,99,190,26,84,42,BASALT
124,993,COOLGARDIE,KALGOORLIE,318564,6563076,51,MD2B,395,120.39,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,512000,6500,150000,19000,92000,2000,81000,122000,9700,1000,1900,14000,0.01,58,300,73,140,1,85,192,19,89,45,BASALT
1015,34,NORSEMAN,NORSEMAN,383597.6,6436684,51,C111,400,121.92,U,uralitized,Basalt,JAH,JA Hallberg,UWA,524000,9700,153000,17000,97000,1600,51000,87000,46000,1500,1400,9000,0.01,68,320,127,163,11,133,377,22,131,62,BASALT
1048,67,NORSEMAN,NORSEMAN,385056.2,6437378,51,C54,400,121.92,U,uralitized,Dolerite,JAH,JA Hallberg,UWA,486000,8500,152000,10000,104000,1700,89000,106000,22000,1300,1400,15000,1000,62,340,130,195,5,86,331,19,104,49,DOLERITE
1073,92,NORSEMAN,NORSEMAN,385501.3,6437383,51,C60,400,121.92,U,uralitized,Dolerite,JAH,JA Hallberg,UWA,486000,11600,151000,15000,117000,2100,84000,95000,24000,2000,1800,16000,1000,66,255,142,146,1,73,389,28,121,67,DOLERITE
1803,1129,YOUANMI,YOUANMI,786673.6,6802854,50,BL6,402,122.52,U,uralitized,Dolerite,JAH,JA Hallberg,CSIR,522000,7100,140000,14000,79000,1700,87000,110000,19000,1000,1000,19000,2000,50,302,85,120,4,87,302,15,64,52,DOLERITE
1643,2288,WIDGIEMOOLTHA,WIDGIEMOOLTHA,374547.6,6546334,51,KD21,403,122.83,TCC,,Peridotite,ROS,,,411000,1800,40000,22000,50000,1700,63000,58000,700,400,100,56000,91000,120,1510,6,1700,1,69,64,3,56,8,PERIDOTITE
1575,1413,WIDGIEMOOLTHA,WIDGIEMOOLTHA,358462,6526205,51,3303,406,123.74,CTS,chlorite tremolite schist,High-Mg Basalt,SPI,,ANU,464000,3900,83000,16000,105000,2000,241000,72000,6600,1200,300,52000,0.01,122,3001,21,1000,5,35,153,9,148,20,HIGH MG BASALT
1525,1357,WIDGIEMOOLTHA,WIDGIEMOOLTHA,360698.9,6518936,51,4147,411,125.27,S,serpentinized,Peridotite,MJH,"MJ Hough PhD thesis, ANU, 1975",ANU,423000,1900,36000,15000,149000,1600,330000,23000,200,100,200,81000,27000,236,3574,656,3722,2,30,82,4,207,9,PERIDOTITE
1539,1371,WIDGIEMOOLTHA,WIDGIEMOOLTHA,358956.8,6518913,51,1185,411,125.27,F,fresh,Peridotite,MJH,"MJ Hough PhD thesis, ANU, 1975",ANU,444000,2400,45000,11000,107000,1500,339000,43000,1100,200,100,63000,6000,137,2506,6,1642,2,14,105,5,127,11,PERIDOTITE
1465,1293,WIDGIEMOOLTHA,WIDGIEMOOLTHA,361045.7,6518664,51,3313,423,128.93,,,Basalt,MJH,"MJ Hough PhD thesis, ANU, 1975",ANU,494000,7100,143000,25000,91000,2700,89000,126000,16500,1300,700,16000,1000,62,275,159,63,12,82,231,14,98,39,BASALT
1526,1358,WIDGIEMOOLTHA,WIDGIEMOOLTHA,360698.9,6518936,51,4147,425,129.54,S,serpentinized,Peridotite,MJH,"MJ Hough PhD thesis, ANU, 1975",ANU,468000,1800,36000,8000,77000,1200,382000,17000,300,100,100,101000,6000,117,2055,54,2110,2,11,81,4,70,7,PERIDOTITE
98,1446,BOORABBIN,BOORABBIN,351404.5,6526446,51,4405,437,133.19,S,serpentinized,Peridotite,MJH,"MJ Hough PhD thesis, ANU, 1975",ANU,434000,1600,33000,10000,1.00E+05,1700,390000,17000,300,1400,100,103000,20000,149,4759,15,2181,5,10,50,4,73,14,PERIDOTITE
1808,1134,YOUANMI,YOUANMI,786673.6,6802854,50,BL8,456,138.98,U,uralitized,Dolerite,JAH,JA Hallberg,CSIR,511000,7800,144000,14000,84000,1700,82000,106000,23900,1000,700,20000,2000,54,319,118,101,8,100,317,15,210,43,DOLERITE
1804,1130,YOUANMI,YOUANMI,786673.6,6802854,50,BL6,464,141.42,U,uralitized,Dolerite,JAH,JA Hallberg,CSIR,526000,7900,142000,9000,90000,2100,94000,93000,19700,2600,900,14000,4000,59,305,198,100,33,75,318,17,79,48,DOLERITE
1587,1431,WIDGIEMOOLTHA,WIDGIEMOOLTHA,358956.8,6518913,51,1185,472,143.86,R,recrystallized,High-Mg Basalt,MJH,"MJ Hough PhD thesis, ANU, 1975",ANU,509000,6200,124000,22000,90000,1500,107000,103000,31900,3300,400,22000,0.01,71,506,70,140,19,323,233,12,131,26,HIGH MG BASALT
1527,1359,WIDGIEMOOLTHA,WIDGIEMOOLTHA,360698.9,6518936,51,4147,476,145.08,S,serpentinized,Peridotite,MJH,"MJ Hough PhD thesis, ANU, 1975",ANU,455000,2500,47000,9000,94000,1700,353000,26000,400,100,200,74000,1000,110,2694,64,1558,2,18,108,5,206,12,PERIDOTITE
1591,1435,WIDGIEMOOLTHA,WIDGIEMOOLTHA,358956.8,6518913,51,1185,482,146.91,R,recrystallized,High-Mg Basalt,MJH,"MJ Hough PhD thesis, ANU, 1975",ANU,483000,5700,109000,25000,1.00E+05,2000,134000,114000,24200,1200,400,19000,0.01,81,1015,8,210,7,106,207,12,180,29,HIGH MG BASALT
1049,68,NORSEMAN,NORSEMAN,385056.2,6437378,51,C54,500,152.4,U,uralitized,Basalt,JAH,JA Hallberg,UWA,511000,8100,147000,8000,97000,2100,85000,112000,24000,1200,1300,10000,0.01,48,330,109,168,7,70,297,21,97,45,BASALT
1074,93,NORSEMAN,NORSEMAN,385501.3,6437383,51,C60,500,152.4,U,uralitized,Basalt,JAH,JA Hallberg,UWA,530000,9100,142000,8000,95000,2900,60000,108000,26000,1200,1400,9000,9000,56,270,63,195,4,69,353,21,149,54,BASALT
1106,125,NORSEMAN,NORSEMAN,386896.3,6436752,51,S49,500,152.4,U,uralitized,Basalt,JAH,JA Hallberg,UWA,5.00E+05,6400,137000,13000,101000,2200,85000,107000,26000,2200,1500,12000,0.01,64,405,110,176,6,80,100,19,96,41,BASALT
1509,1341,WIDGIEMOOLTHA,WIDGIEMOOLTHA,360740.4,6515826,51,5896,522,159.1,S,serpentinized,Peridotite,MJH,"MJ Hough PhD thesis, ANU, 1975",ANU,434000,1300,28000,8000,85000,1500,422000,10000,600,1700,100,124000,2000,92,1522,58,1814,59,2,55,3,156,6,PERIDOTITE
125,994,COOLGARDIE,KALGOORLIE,318564,6563076,51,MD2B,525,160.02,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,5.00E+05,6600,152000,19000,92000,2100,75000,131000,10300,800,1200,14000,0.01,66,290,121,142,5,99,178,24,94,44,BASALT
101,1449,BOORABBIN,BOORABBIN,351404.5,6526446,51,4405,526,160.32,T,tremolitic,Peridotite,MJH,"MJ Hough PhD thesis, ANU, 1975",ANU,486000,3800,80000,15000,1.00E+05,2200,234000,72000,2800,800,300,44000,2000,119,2985,30,911,2,7,127,10,137,31,PERIDOTITE
1510,1342,WIDGIEMOOLTHA,WIDGIEMOOLTHA,360740.4,6515826,51,5896,546,166.42,S,serpentinized,Peridotite,MJH,"MJ Hough PhD thesis, ANU, 1975",ANU,421000,2200,46000,9000,92000,1400,393000,16000,300,200,300,112000,11000,127,1937,82,1935,2,2,100,4,86,11,PERIDOTITE
1563,1401,WIDGIEMOOLTHA,WIDGIEMOOLTHA,360667.4,6515363,51,5893,547,166.72,CTS,chlorite tremolite schist,High-Mg Basalt,MJH,"MJ Hough PhD thesis, ANU, 1975",ANU,522000,2700,47000,11000,75000,1800,233000,96000,4200,300,100,46000,4000,114,2469,87,1250,2,28,116,5,135,14,HIGH MG BASALT
1580,1418,WIDGIEMOOLTHA,WIDGIEMOOLTHA,358462,6526205,51,3303,743,226.46,CTS,chlorite tremolite schist,High-Mg Basalt,SPI,,ANU,472000,4500,91000,16000,108000,2100,226000,69000,5300,500,400,53000,2000,109,2688,49,809,4,20,164,11,95,22,HIGH MG BASALT
133,1002,COOLGARDIE,KALGOORLIE,318564,6563076,51,MD5B,745,227.07,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,504000,6200,150000,26000,88000,1900,70000,122000,19900,1100,1400,16000,0.01,56,300,75,143,1,119,194,20,83,40,BASALT
1069,88,NORSEMAN,NORSEMAN,385422.7,6437382,51,C59,750,228.6,U,uralitized,Basalt,JAH,JA Hallberg,UWA,540000,9200,159000,12000,69000,2100,41000,124000,26000,1900,1900,13000,3000,57,450,121,143,1,120,318,23,98,63,BASALT
81,1381,BOORABBIN,BOORABBIN,357443.7,6521448,51,5850,758,231.03,S,serpentinized,Peridotite,MJH,"MJ Hough PhD thesis, ANU, 1975",ANU,466000,1500,32000,8000,83000,1700,373000,27000,600,100,100,79000,8000,139,1776,18,2118,2,25,76,3,109,2,PERIDOTITE
1578,1416,WIDGIEMOOLTHA,WIDGIEMOOLTHA,358462,6526205,51,3303,583,177.69,CTS,chlorite tremolite schist,High-Mg Basalt,SPI,,ANU,448000,4500,101000,18000,119000,2500,220000,72000,6300,400,300,52000,2000,117,4012,20,802,2,14,165,9,267,25,HIGH MG BASALT
1017,36,NORSEMAN,NORSEMAN,383597.6,6436684,51,C111,600,182.88,U,uralitized,Basalt,JAH,JA Hallberg,UWA,529000,8800,149000,10000,83000,2000,54000,107000,38000,1600,1200,12000,1000,59,325,130,166,9,112,302,17,141,53,BASALT
1050,69,NORSEMAN,NORSEMAN,385056.2,6437378,51,C54,600,182.88,R,recrystallized,Dolerite,JAH,JA Hallberg,UWA,517000,7500,142000,9000,94000,1900,79000,96000,29000,1000,1300,12000,0.01,58,295,202,157,1,120,271,21,95,50,DOLERITE
1076,95,NORSEMAN,NORSEMAN,385501.3,6437383,51,C60,600,182.88,U,uralitized,Basalt,JAH,JA Hallberg,UWA,488000,9100,153000,9000,108000,2200,80000,88000,36000,1800,1500,13000,1000,67,385,132,144,5,75,387,25,123,67,BASALT
1466,1295,WIDGIEMOOLTHA,WIDGIEMOOLTHA,360698.9,6518936,51,4147,605,184.4,R,recrystallized,Basalt,MJH,"MJ Hough PhD thesis, ANU, 1975",ANU,515000,6900,149000,22000,80000,1500,92000,105000,24000,2800,400,21000,1000,59,460,37,95,50,188,227,12,85,34,BASALT
1564,1402,WIDGIEMOOLTHA,WIDGIEMOOLTHA,360667.4,6515363,51,5893,608,185.31,CTS,chlorite tremolite schist,High-Mg Basalt,MJH,"MJ Hough PhD thesis, ANU, 1975",ANU,483000,3000,72000,14000,92000,1900,229000,90000,5100,800,300,51000,3000,121,3771,72,1321,6,29,132,8,142,17,HIGH MG BASALT
129,998,COOLGARDIE,KALGOORLIE,318564,6563076,51,MD3B,615,187.45,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,501000,6200,146000,22000,89000,2000,78000,128000,16600,900,1300,13000,0.01,63,308,74,153,1,109,168,17,85,40,BASALT
1594,1439,WIDGIEMOOLTHA,WIDGIEMOOLTHA,358462,6526205,51,3303,619,188.67,R,recrystallized,High-Mg Basalt,MJH,"MJ Hough PhD thesis, ANU, 1975",ANU,488000,4600,101000,11000,107000,2100,164000,92000,21800,5700,300,26000,2000,96,2067,10,467,53,26,185,10,238,25,HIGH MG BASALT
1590,1434,WIDGIEMOOLTHA,WIDGIEMOOLTHA,358462,6526205,51,3303,624,190.19,R,recrystallized,High-Mg Basalt,MJH,"MJ Hough PhD thesis, ANU, 1975",ANU,505000,4800,111000,17000,91000,2000,136000,96000,32800,2200,300,15000,2000,71,1187,35,184,16,144,195,11,180,26,HIGH MG BASALT
168,1484,CUE,CUE,590784.1,7013164,50,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,491000,12700,142000,27000,111000,2100,65000,115000,19000,1400,1700,14000,0.01,80,183,162,140,3,110,329,19,100,79,BASALT
169,1485,CUE,CUE,590501.8,7012243,50,,-9999,-9999,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,502000,19000,148000,27000,97000,2800,47000,101000,24700,1800,1300,24000,2000,77,183,263,114,6,125,398,30,100,125,BASALT
172,1488,CUE,CUE,559044.5,7015661,50,,-9999,-9999,F,fresh,Dolerite,JAH,JA Hallberg,CSIR,511000,12900,152000,33000,77000,1600,69000,89000,19400,7100,3000,23000,0.01,63,268,65,147,21,145,265,20,98,95,DOLERITE
173,1489,CUE,CUE,566112,7012426,50,,-9999,-9999,EU,epidotized; uralitized,Basalt,JAH,JA Hallberg,CSIR,535000,5600,148000,21000,63000,1800,81000,94000,18800,3700,1000,28000,0.01,60,353,70,200,13,182,168,11,58,73,BASALT
174,1490,CUE,CUE,566643,7013808,50,,-9999,-9999,PU,porphyritic; uralitized,Basalt,JAH,JA Hallberg,CSIR,565000,7800,146000,22000,55000,1500,52000,95000,23900,6100,1100,20000,0.01,59,171,100,98,25,119,217,16,60,116,BASALT
175,1491,CUE,CUE,577299.8,6972391,50,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,505000,9300,130000,26000,85000,2000,88000,108000,16700,600,1300,24000,0.01,86,469,73,150,3,109,277,14,78,50,BASALT
176,1492,CUE,CUE,576115.7,6971937,50,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,504000,17100,134000,40000,105000,2000,56000,91000,28200,1700,1800,14000,0.01,72,64,75,118,2,149,404,35,105,117,BASALT
178,1539,CUE,CUE,606051.3,7009536,50,,-9999,-9999,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,498000,8100,145000,25000,90000,1900,76000,119000,18500,1100,1700,13000,0.01,62,203,110,132,4,170,323,14,62,48,BASALT
